Order ID,Date,Region,Product,Quantity,Price,Sales
51,2024-02-20,East,Tablet,16,478.13,8606.34
52,2024-02-21,East,Phone,4,506.71,2285.26
53,2024-02-22,North,Tablet,11,401.04,4984.93
54,2024-02-23,East,Tablet,4,603.37,2733.27
55,2024-02-24,North,Phone,12,491.07,6688.37
56,2024-02-25,North,Tablet,6,560.03,3822.2
57,2024-02-26,West,Phone,7,547.48,4368.89
58,2024-02-27,West,Phone,12,604.27,8284.54
59,2024-02-28,West,Monitor,18,592.14,12204.01
60,2024-02-29,South,Laptop,16,378.95,6957.52
61,2024-03-01,North,Laptop,1,500.38,575.44
62,2024-03-02,North,Tablet,5,326.21,1879.79
63,2024-03-03,South,Monitor,17,461.3,9057.63
64,2024-03-04,East,Tablet,12,554.27,7698.81
65,2024-03-05,East,Laptop,6,570.26,3969.01
66,2024-03-06,North,Tablet,11,600.31,7676.46
67,2024-03-07,North,Tablet,19,467.06,10338.37
68,2024-03-08,South,Monitor,9,522.88,5494.16
69,2024-03-09,East,Laptop,1,505.09,590.96
70,2024-03-10,West,Phone,12,598.69,8423.57
71,2024-03-11,North,Laptop,16,624.42,11739.1
72,2024-03-12,South,Phone,16,468.68,8829.93
73,2024-03-13,West,Monitor,14,800.13,13218.15
74,2024-03-14,South,Monitor,5,497.12,2939.22
75,2024-03-15,South,Laptop,10,468.09,5546.87
76,2024-03-16,North,Laptop,10,545.43,6476.98
77,2024-03-17,East,Laptop,14,,9299.28
78,2024-03-18,West,Laptop,2,541.25,1290.88
79,2024-03-19,East,Laptop,2,,1065.06
80,2024-03-20,West,Tablet,10,615.5,7370.61
81,2024-03-21,East,Tablet,2,502.07,1204.97
82,2024-03-22,North,Laptop,16,620.84,11944.96
83,2024-03-23,East,Monitor,10,609.32,7342.31
84,2024-03-24,North,Phone,19,396.09,9087.29
85,2024-03-25,East,Monitor,5,419.65,2538.88
86,2024-03-26,North,Phone,10,418.06,5068.98
87,2024-03-27,East,Phone,17,518.17,10702.8
88,2024-03-28,North,Laptop,6,502.57,3671.27
89,2024-03-29,North,Tablet,5,,3170.84
90,2024-03-30,North,Phone,12,433.38,6357.68
91,2024-03-31,East,Laptop,13,532.57,120000.0
92,2024-04-01,North,Phone,8,610.81,5998.15
93,2024-04-02,North,Phone,16,391.71,7708.85
94,2024-04-03,North,Tablet,3,482.9,1785.52
95,2024-04-04,North,Monitor,13,518.48,8324.2
96,2024-04-05,South,Monitor,10,488.24,6041.97
97,2024-04-06,North,Phone,18,482.87,10777.66
98,2024-04-07,South,Monitor,16,640.18,12726.78
99,2024-04-08,North,Monitor,16,601.37,11979.29
100,2024-04-09,East,Laptop,17,566.67,12017.65
101,2024-04-10,East,Laptop,1,437.82,547.28
102,2024-04-11,South,Laptop,19,678.05,16135.89
103,2024-04-12,West,Laptop,3,527.67,1986.68
104,2024-04-13,South,Monitor,7,452.56,3983.66
105,2024-04-14,East,Tablet,5,471.81,2972.4
106,2024-04-15,North,Laptop,5,459.65,2901.54
107,2024-04-16,South,Tablet,2,668.52,1691.36
108,2024-04-17,North,Monitor,3,515.29,1959.39
109,2024-04-18,West,Tablet,6,503.95,3840.1
110,2024-04-19,North,Tablet,9,326.67,3741.19
111,2024-04-20,North,Phone,5,557.9,3556.61
112,2024-04-21,North,Tablet,16,414.28,8467.88
113,2024-04-22,North,Tablet,1,408.56,522.96
114,2024-04-23,East,Phone,5,547.96,3513.79
115,2024-04-24,East,Tablet,19,429.89,10495.76
116,2024-04-25,North,Monitor,17,565.83,12384.6
117,2024-04-26,North,Phone,17,588.71,12910.41
118,2024-04-27,South,Laptop,14,355.81,6438.38
119,2024-04-28,East,Monitor,10,488.07,6320.51
120,2024-04-29,South,Laptop,4,373.05,1936.13
121,2024-04-30,South,Phone,16,494.01,10275.41
122,2024-05-01,East,Phone,13,571.94,9684.37
123,2024-05-02,East,Laptop,17,389.85,8648.82
124,2024-05-03,North,Tablet,16,643.13,13454.28
125,2024-05-04,South,Monitor,18,,11177.63
126,2024-05-05,North,Tablet,18,404.19,9548.99
127,2024-05-06,North,Laptop,1,488.85,642.84
128,2024-05-07,North,Monitor,4,562.14,2962.48
129,2024-05-08,North,Tablet,11,388.57,5642.04
130,2024-05-09,North,Tablet,16,498.86,10555.88
131,2024-05-10,North,Monitor,17,388.82,8758.17
132,2024-05-11,South,Phone,15,595.0,11847.94
133,2024-05-12,West,Phone,17,511.03,11554.39
134,2024-05-13,East,Monitor,5,464.59,3095.33
135,2024-05-14,East,Laptop,16,,12418.7
136,2024-05-15,East,Monitor,6,,3173.65
137,2024-05-16,South,Phone,1,467.07,625.87
138,2024-05-17,West,Phone,19,646.2,16482.95
139,2024-05-18,East,Phone,11,488.55,7228.1
140,2024-05-19,South,Phone,7,607.0,5725.53
141,2024-05-20,North,Phone,8,514.06,5551.85
142,2024-05-21,South,Monitor,6,442.43,3590.32
143,2024-05-22,North,Tablet,15,478.7,9729.58
144,2024-05-23,North,Tablet,14,504.55,9588.97
145,2024-05-24,South,Tablet,7,465.6,4432.51
146,2024-05-25,East,Phone,3,432.42,1767.52
147,2024-05-26,North,Tablet,7,435.81,4164.16
148,2024-05-27,East,Monitor,10,379.64,5191.58
149,2024-05-28,South,Phone,16,507.13,11116.29
150,2024-05-29,North,Monitor,7,529.77,5089.77
151,2024-05-30,West,Phone,10,558.18,7674.97
152,2024-05-31,South,Monitor,11,353.79,5360.8
153,2024-06-01,North,Tablet,3,562.71,2329.62
154,2024-06-02,East,Monitor,12,496.87,8243.07
155,2024-06-03,North,Phone,9,383.95,4785.94
156,2024-06-04,East,Laptop,13,506.07,9128.24
157,2024-06-05,North,Tablet,15,563.41,11747.1
158,2024-06-06,North,Tablet,9,540.03,6767.93
159,2024-06-07,North,Phone,7,556.27,5431.98
160,2024-06-08,East,Tablet,17,573.87,13633.72
161,2024-06-09,North,Tablet,15,569.92,11968.32
162,2024-06-10,West,Monitor,16,495.4,11116.78
163,2024-06-11,South,Monitor,14,331.66,6523.75
164,2024-06-12,East,Tablet,18,437.5,11084.06
165,2024-06-13,South,Laptop,17,526.77,12626.68
166,2024-06-14,North,Tablet,9,460.73,5857.03
167,2024-06-15,North,Tablet,18,553.15,14088.73
168,2024-06-16,West,Laptop,14,562.15,11155.87
169,2024-06-17,North,Phone,15,502.19,10696.65
170,2024-06-18,West,Tablet,9,648.73,8305.37
171,2024-06-19,East,Phone,8,420.36,4792.1
172,2024-06-20,North,Monitor,6,572.88,4906.72
173,2024-06-21,South,Tablet,2,460.59,1317.29
174,2024-06-22,North,Laptop,13,435.96,8118.67
175,2024-06-23,North,Phone,18,545.51,14090.52
176,2024-06-24,South,Laptop,18,449.15,11621.76
177,2024-06-25,North,Phone,8,567.14,6533.45
178,2024-06-26,South,Tablet,16,405.1,9349.71
179,2024-06-27,West,Monitor,14,501.25,10140.29
180,2024-06-28,North,Phone,6,430.97,3742.97
181,2024-06-29,East,Phone,12,479.64,8345.74
182,2024-06-30,South,Tablet,5,468.69,3403.86
183,2024-07-01,North,Tablet,18,408.16,10689.71
184,2024-07-02,West,Monitor,15,550.9,12044.05
185,2024-07-03,North,Phone,13,398.86,7570.36
186,2024-07-04,North,Laptop,14,,8600.93
187,2024-07-05,West,Laptop,18,569.82,15026.15
188,2024-07-06,North,Phone,17,576.38,14379.24
189,2024-07-07,East,Monitor,9,551.96,7302.43
190,2024-07-08,South,Monitor,3,525.76,2322.54
191,2024-07-09,East,Laptop,18,680.82,18075.77
192,2024-07-10,South,Monitor,17,401.81,10092.46
193,2024-07-11,North,Phone,12,439.12,7798.77
194,2024-07-12,East,Monitor,9,419.1,5591.84
195,2024-07-13,North,Monitor,4,570.52,3388.89
196,2024-07-14,South,Laptop,6,521.68,4655.99
197,2024-07-15,North,Laptop,18,587.52,15757.29
198,2024-07-16,South,Monitor,7,576.46,6022.57
199,2024-07-17,North,Monitor,4,480.67,2874.41
200,2024-07-18,North,Phone,19,433.17,12324.77
201,2024-07-19,South,Monitor,17,419.32,75000.0
202,2024-07-20,North,Tablet,19,675.65,19288.12
203,2024-07-21,East,Monitor,11,576.15,9538.16
204,2024-07-22,South,Laptop,2,546.2,1646.79
205,2024-07-23,West,Laptop,18,471.65,12819.45
206,2024-07-24,East,Laptop,6,482.93,4382.59
207,2024-07-25,South,Tablet,15,471.27,10709.61
208,2024-07-26,North,Phone,14,472.9,10046.76
209,2024-07-27,East,Tablet,19,306.52,8852.3
210,2024-07-28,North,Laptop,1,493.9,751.96
211,2024-07-29,North,Monitor,19,468.23,13566.96
212,2024-07-30,West,Tablet,1,522.0,797.35
213,2024-07-31,South,Monitor,3,515.59,2366.56
214,2024-08-01,East,Tablet,1,567.1,869.08
215,2024-08-02,South,Phone,5,497.79,3820.54
216,2024-08-03,South,Phone,17,562.59,14704.7
217,2024-08-04,North,Phone,19,293.96,8601.27
218,2024-08-05,North,Tablet,7,410.75,4435.07
219,2024-08-06,East,Phone,14,636.92,13776.58
220,2024-08-07,South,Laptop,7,401.32,4347.3
221,2024-08-08,North,Tablet,17,476.54,12556.83
222,2024-08-09,West,Tablet,16,555.41,13796.38
223,2024-08-10,North,Monitor,10,,6659.44
224,2024-08-11,South,Tablet,7,556.67,6069.09
225,2024-08-12,North,Laptop,3,384.62,1800.02
226,2024-08-13,East,Phone,15,,8104.69
227,2024-08-14,North,Tablet,11,392.52,6757.23
228,2024-08-15,North,Tablet,8,366.57,4596.79
229,2024-08-16,North,Monitor,17,497.45,13276.94
230,2024-08-17,North,Phone,6,473.44,4466.91
231,2024-08-18,North,Tablet,1,525.14,827.1
232,2024-08-19,South,Phone,8,416.01,5250.05
233,2024-08-20,South,Monitor,10,702.3,11096.34
234,2024-08-21,West,Monitor,4,491.23,3109.49
235,2024-08-22,West,Monitor,5,495.21,3924.54
236,2024-08-23,East,Phone,2,535.33,1699.67
237,2024-08-24,East,Phone,19,479.39,14482.37
238,2024-08-25,East,Tablet,17,448.36,12138.23
239,2024-08-26,West,Laptop,10,505.74,8066.55
240,2024-08-27,North,Tablet,17,572.38,15544.41
241,2024-08-28,North,Tablet,18,552.14,15901.63
242,2024-08-29,North,Tablet,9,574.25,8282.12
243,2024-08-30,North,Laptop,16,453.78,11653.07
244,2024-08-31,South,Monitor,14,436.94,9833.33
245,2024-09-01,North,Laptop,15,659.29,15921.85
246,2024-09-02,North,Laptop,17,,13153.89
247,2024-09-03,North,Tablet,5,537.26,4338.37
248,2024-09-04,North,Tablet,8,558.07,7221.43
249,2024-09-05,East,Laptop,11,612.68,10917.96
250,2024-09-06,East,Phone,14,,8880.2
251,2024-09-07,South,Laptop,13,460.63,9730.81
252,2024-09-08,North,Tablet,15,464.38,11336.68
253,2024-09-09,South,Laptop,14,474.95,10838.36
254,2024-09-10,East,Phone,2,306.06,999.29
255,2024-09-11,North,Phone,7,491.39,5623.96
256,2024-09-12,North,Tablet,3,267.59,1314.54
257,2024-09-13,North,Laptop,19,522.97,16295.75
258,2024-09-14,North,Tablet,15,542.15,13357.22
259,2024-09-15,North,Monitor,10,546.99,8997.99
260,2024-09-16,South,Phone,14,402.79,9290.35
261,2024-09-17,South,Laptop,3,575.6,2849.22
262,2024-09-18,West,Tablet,4,430.09,2842.89
263,2024-09-19,North,Phone,13,401.05,8628.59
264,2024-09-20,North,Phone,16,420.81,11159.88
265,2024-09-21,East,Laptop,14,431.44,10026.67
266,2024-09-22,North,Phone,16,513.08,13647.93
267,2024-09-23,North,Laptop,8,565.28,7529.53
268,2024-09-24,West,Laptop,7,331.2,3865.93
269,2024-09-25,East,Phone,10,456.06,7616.2
270,2024-09-26,North,Tablet,7,571.52,6691.07
271,2024-09-27,North,Phone,5,515.7,4318.99
272,2024-09-28,North,Monitor,3,540.14,2718.25
273,2024-09-29,North,Tablet,16,379.63,10204.45
274,2024-09-30,West,Monitor,9,575.9,8720.57
275,2024-10-01,South,Phone,8,374.48,5047.99
276,2024-10-02,North,Monitor,3,515.21,2608.25
277,2024-10-03,West,Monitor,19,608.9,19551.78
278,2024-10-04,South,Laptop,11,,12107.89
279,2024-10-05,North,Tablet,12,540.92,11002.31
280,2024-10-06,North,Monitor,12,570.48,11620.68
281,2024-10-07,South,Monitor,3,451.49,2302.6
282,2024-10-08,North,Monitor,12,461.48,9428.04
283,2024-10-09,South,Monitor,13,593.55,13156.04
284,2024-10-10,South,Monitor,2,500.13,1707.94
285,2024-10-11,North,Laptop,15,489.81,12563.63
286,2024-10-12,East,Phone,12,387.16,7956.14
287,2024-10-13,East,Laptop,17,512.05,14928.82
288,2024-10-14,West,Phone,15,551.67,14212.4
289,2024-10-15,East,Monitor,7,436.47,5255.1
290,2024-10-16,East,Phone,3,459.43,2374.1
291,2024-10-17,North,Monitor,17,626.44,18370.35
292,2024-10-18,North,Phone,12,514.26,10660.61
293,2024-10-19,North,Tablet,15,476.91,12375.81
294,2024-10-20,West,Monitor,16,409.04,11338.59
295,2024-10-21,South,Laptop,12,450.43,9377.95
296,2024-10-22,West,Phone,4,480.0,3336.0
297,2024-10-23,North,Monitor,10,609.53,10605.82
298,2024-10-24,East,Laptop,18,451.16,14150.63
299,2024-10-25,North,Phone,4,643.55,4491.98
300,2024-10-26,North,Laptop,19,,14134.3
301,2024-10-27,North,Monitor,3,,2474.8
302,2024-10-28,South,Monitor,14,567.48,13923.12
303,2024-10-29,South,Phone,12,480.78,10125.23
304,2024-10-30,South,Monitor,17,433.58,12954.29
305,2024-10-31,South,Phone,5,489.45,4307.16
306,2024-11-01,South,Laptop,6,535.9,5667.14
307,2024-11-02,West,Tablet,4,362.74,2560.94
308,2024-11-03,South,Monitor,13,480.12,11031.96
309,2024-11-04,East,Tablet,6,491.25,5217.08
310,2024-11-05,North,Tablet,18,467.7,14921.97
311,2024-11-06,North,Phone,6,558.83,5951.54
312,2024-11-07,South,Phone,1,454.52,807.91
313,2024-11-08,South,Tablet,5,470.84,4190.48
314,2024-11-09,North,Tablet,16,503.01,14345.85
315,2024-11-10,North,Monitor,4,558.31,3986.33
316,2024-11-11,West,Laptop,5,482.31,4310.65
317,2024-11-12,South,Tablet,3,,3336.54
318,2024-11-13,South,Laptop,16,427.38,12257.26
319,2024-11-14,North,Tablet,13,602.92,14069.14
320,2024-11-15,North,Laptop,13,431.37,10080.04
321,2024-11-16,North,Tablet,7,486.95,6135.57
322,2024-11-17,North,Laptop,16,529.12,15259.82
323,2024-11-18,West,Phone,4,664.39,4796.9
324,2024-11-19,North,Laptop,8,571.67,8266.35
325,2024-11-20,North,Laptop,4,467.53,3384.92
326,2024-11-21,North,Laptop,9,603.93,9851.61
327,2024-11-22,South,Laptop,8,482.9,7011.71
328,2024-11-23,North,Monitor,18,436.68,14285.99
329,2024-11-24,North,Phone,10,535.89,9753.2
330,2024-11-25,North,Phone,2,507.56,1850.06
331,2024-11-26,North,Tablet,5,576.29,5258.65
332,2024-11-27,South,Laptop,3,456.02,2500.13
333,2024-11-28,East,Phone,13,530.52,12621.07
334,2024-11-29,North,Phone,19,550.76,19176.09
335,2024-11-30,North,Phone,4,522.24,3833.24
336,2024-12-01,East,Phone,18,497.68,16460.77
337,2024-12-02,East,Phone,18,444.19,14711.57
338,2024-12-03,North,Tablet,3,572.3,3163.39
339,2024-12-04,East,Laptop,2,510.98,1885.52
340,2024-12-05,East,Laptop,19,539.7,18944.82
341,2024-12-06,North,Laptop,18,471.94,15715.6
342,2024-12-07,South,Tablet,6,501.04,5569.06
343,2024-12-08,North,Phone,4,417.02,3094.29
344,2024-12-09,North,Monitor,17,506.84,16004.74
345,2024-12-10,South,Tablet,14,561.22,14614.17
346,2024-12-11,South,Tablet,18,507.44,17011.93
347,2024-12-12,South,Monitor,3,,3182.16
348,2024-12-13,South,Phone,1,525.03,980.49
349,2024-12-14,North,Tablet,11,609.11,12529.39
350,2024-12-15,East,Monitor,1,484.8,907.79
351,2024-12-16,North,Phone,5,368.91,3458.53
352,2024-12-17,West,Laptop,7,,7025.98
353,2024-12-18,South,Monitor,19,486.78,17387.78
354,2024-12-19,North,Phone,18,,14301.5
355,2024-12-20,North,Laptop,7,,7284.96
356,2024-12-21,South,Tablet,16,521.15,15738.73
357,2024-12-22,North,Phone,18,535.63,18222.13
358,2024-12-23,South,Monitor,8,473.41,7167.43
359,2024-12-24,South,Tablet,19,515.76,18569.94
360,2024-12-25,North,Tablet,17,520.35,16785.19
361,2024-12-26,East,Phone,12,,14636.92
362,2024-12-27,North,Phone,6,445.28,5082.87
363,2024-12-28,East,Phone,5,499.16,4754.5
364,2024-12-29,East,Tablet,7,529.11,7064.94
365,2024-12-30,West,Laptop,17,362.02,11754.79
366,2024-12-31,East,Monitor,4,371.76,2843.96
367,2025-01-01,North,Monitor,7,673.27,9025.18
368,2025-01-02,South,Monitor,19,358.63,13065.79
369,2025-01-03,South,Laptop,13,545.99,13627.91
370,2025-01-04,South,Phone,16,,13292.63
371,2025-01-05,North,Tablet,2,438.95,1689.96
372,2025-01-06,East,Monitor,9,341.4,5922.44
373,2025-01-07,North,Phone,15,427.94,12388.86
374,2025-01-08,North,Phone,6,,6525.09
375,2025-01-09,South,Phone,17,388.9,12792.87
376,2025-01-10,South,Monitor,19,547.63,20159.63
377,2025-01-11,North,Laptop,10,525.06,10186.16
378,2025-01-12,West,Monitor,8,,10279.09
379,2025-01-13,East,Tablet,9,462.04,8088.01
380,2025-01-14,East,Tablet,5,601.07,5852.92
381,2025-01-15,North,Tablet,2,571.11,2227.33
382,2025-01-16,West,Monitor,9,477.07,8383.31
383,2025-01-17,East,Laptop,8,366.96,5739.25
384,2025-01-18,West,Tablet,14,620.76,17011.93
385,2025-01-19,North,Monitor,3,390.85,2298.2
386,2025-01-20,South,Tablet,15,462.13,13603.95
387,2025-01-21,North,Laptop,4,570.65,4485.31
388,2025-01-22,South,Laptop,3,589.28,3478.23
389,2025-01-23,North,Monitor,18,432.36,15331.49
390,2025-01-24,North,Monitor,18,497.44,17661.61
391,2025-01-25,South,Phone,7,479.31,6626.46
392,2025-01-26,South,Tablet,13,594.52,15283.62
393,2025-01-27,North,Laptop,4,700.37,5546.93
394,2025-01-28,West,Phone,2,353.61,1402.06
395,2025-01-29,South,Monitor,5,573.31,5690.1
396,2025-01-30,North,Laptop,16,271.35,8628.93
397,2025-01-31,East,Laptop,16,,15955.98
398,2025-02-01,South,Tablet,19,411.3,15570.79
399,2025-02-02,North,Tablet,17,659.35,22361.86
400,2025-02-03,North,Tablet,16,513.31,16405.39
1,2024-01-01,South,Laptop,8,492.24,3937.92
2,2024-01-02,West,Monitor,5,626.59,3140.78
3,2024-01-03,North,Phone,19,402.41,7684.02
4,2024-01-04,West,Monitor,1,478.79,482.38
5,2024-01-05,North,Monitor,14,502.89,7110.86
6,2024-01-06,South,Phone,15,609.45,90000.0
7,2024-01-07,East,Monitor,9,,5866.04
8,2024-01-08,South,Tablet,19,444.43,8591.94
